T96060000001	1A03_HUMAN
T96060000237	5NTC_HUMAN
T96060000238	5NTC_HUMAN
T96060000239	68MP_HUMAN
T96060000240	68MP_HUMAN
T96060000241	68MP_HUMAN
T96060000242	7B2_HUMAN
T96060000243	7B2_HUMAN
T96060000244	A14EL_HUMAN
T96060000245	A14EL_HUMAN
T96060000246	A14EL_HUMAN
T96060000247	A16A1_HUMAN
T96060000248	A16A1_HUMAN
T96060000249	A16L1_HUMAN
T96060000250	A16L1_HUMAN
T96060000251	A16L2_HUMAN
T96060000252	A16L2_HUMAN
T96060000253	A1AG1_HUMAN
T96060000254	A1AG2_HUMAN
T96060000255	A1ATR_HUMAN
T96060000256	A1ATR_HUMAN
T96060000257	A1AT_HUMAN
T96060000258	A1BG_HUMAN
T96060000259	A1BG_HUMAN
T96060000260	A2012_HUMAN
T96060000261	A2012_HUMAN
T96060000262	A2012_HUMAN
T96060000263	A20A1_HUMAN
T96060000264	A20A1_HUMAN
T96060000265	A20A2_HUMAN
T96060000266	A20A2_HUMAN
T96060000267	A20A2_HUMAN
T96060000268	A20A3_HUMAN
T96060000269	A20A3_HUMAN
T96060000270	A20A3_HUMAN
T96060000271	A20A4_HUMAN
T96060000272	A20A4_HUMAN
T96060000273	A20A4_HUMAN
T96060000274	A20A5_HUMAN
T96060000275	A20A5_HUMAN
T96060000276	A20A5_HUMAN
T96060000277	A26L1_HUMAN
T96060000278	A26L1_HUMAN
T96060000279	A26L1_HUMAN
T96060000280	A2GL_HUMAN
T96060000281	A2GL_HUMAN
T96060000282	A30BL_HUMAN
T96060000283	A30BL_HUMAN
T96060000284	A30BL_HUMAN
T96060000285	A3LT2_HUMAN
T96060000286	A3LT2_HUMAN
T96060000287	A3LT2_HUMAN
T96060000288	A4AS1_HUMAN
T96060000289	A4AS1_HUMAN
T96060000290	A4AS1_HUMAN
T96060000291	A4GCT_HUMAN
T96060000292	A7L3B_HUMAN
T96060000293	AA1R_HUMAN
T96060000294	AA1R_HUMAN
T96060000295	AA2BR_HUMAN
T96060000296	AA2BR_HUMAN
T96060000297	AA2BR_HUMAN
T96060000298	AA3R_HUMAN
T96060000299	AA3R_HUMAN
T96060000300	AAA1_HUMAN
T96060000301	AAAD_HUMAN
T96060000302	AAAS_HUMAN
T96060000303	AACS_HUMAN
T96060000304	AACS_HUMAN
T96060000305	AACS_HUMAN
T96060000306	AACT_HUMAN
T96060000307	AACT_HUMAN
T96060000308	AADAT_HUMAN
T96060000309	AAGAB_HUMAN
T96060000310	AAGAB_HUMAN
T96060000311	AAK1_HUMAN
T96060000312	AAKB1_HUMAN
T96060000313	AAKB2_HUMAN
T96060000314	AAKG3_HUMAN
T96060000315	AAMDC_HUMAN
T96060000316	AAMDC_HUMAN
T96060000317	AAMDC_HUMAN
T96060000318	AAPK2_HUMAN
T96060000319	AAR2_HUMAN
T96060000320	AAR2_HUMAN
T96060000321	AAR2_HUMAN
T96060000322	AARD_HUMAN
T96060000323	AARD_HUMAN
T96060000324	AARD_HUMAN
T96060000325	AAS1_HUMAN
T96060000326	AAS1_HUMAN
T96060000327	AAS1_HUMAN
T96060000328	AASD1_HUMAN
T96060000329	AASD1_HUMAN
T96060000330	AASS_HUMAN
T96060000331	AATC2_HUMAN
T96060000332	AATC2_HUMAN
T96060000333	AATC2_HUMAN
T96060000334	AB12B_HUMAN
T96060000335	AB12B_HUMAN
T96060000336	AB12B_HUMAN
T96060000337	AB17C_HUMAN
T96060000338	AB1IP_HUMAN
T96060000339	AB1IP_HUMAN
T96060000340	ABC3D_HUMAN
T96060000341	ABCA3_HUMAN
T96060000342	ABCA3_HUMAN
T96060000343	ABCA4_HUMAN
T96060000344	ABCA5_HUMAN
T96060000345	ABCA5_HUMAN
T96060000346	ABCA5_HUMAN
T96060000347	ABCA6_HUMAN
T96060000348	ABCA6_HUMAN
T96060000349	ABCA8_HUMAN
T96060000350	ABCA8_HUMAN
T96060000351	ABCA9_HUMAN
T96060000352	ABCA9_HUMAN
T96060000353	ABCA9_HUMAN
T96060000354	ABCAA_HUMAN
T96060000355	ABCAA_HUMAN
T96060000356	ABCAA_HUMAN
T96060000357	ABCAB_HUMAN
T96060000358	ABCAB_HUMAN
T96060000359	ABCAB_HUMAN
T96060000360	ABCAD_HUMAN
T96060000361	ABCAD_HUMAN
T96060000362	ABCAD_HUMAN
T96060000363	ABCB7_HUMAN
T96060000364	ABCB7_HUMAN
T96060000365	ABCB8_HUMAN
T96060000366	ABCB8_HUMAN
T96060000367	ABCBA_HUMAN
T96060000368	ABCBA_HUMAN
T96060000369	ABCBB_HUMAN
T96060000370	ABCBB_HUMAN
T96060000371	ABCC8_HUMAN
T96060000372	ABCD4_HUMAN
T96060000373	ABCF2_HUMAN
T96060000374	ABCF2_HUMAN
T96060000375	ABCF3_HUMAN
T96060000376	ABCG4_HUMAN
T96060000377	ABCG4_HUMAN
T96060000378	ABD12_HUMAN
T96060000379	ABD18_HUMAN
T96060000380	ABD18_HUMAN
T96060000381	ABD18_HUMAN
T96060000382	ABEC1_HUMAN
T96060000383	ABEC1_HUMAN
T96060000384	ABEC2_HUMAN
T96060000385	ABEC4_HUMAN
T96060000386	ABEC4_HUMAN
T96060000387	ABEC4_HUMAN
T96060000388	ABH15_HUMAN
T96060000389	ABH15_HUMAN
T96060000390	ABHD1_HUMAN
T96060000391	ABHD1_HUMAN
T96060000392	ABHD1_HUMAN
T96060000393	ABHD3_HUMAN
T96060000394	ABHD4_HUMAN
T96060000395	ABHD4_HUMAN
T96060000396	ABHD4_HUMAN
T96060000397	ABHD6_HUMAN
T96060000398	ABHD8_HUMAN
T96060000399	ABHD8_HUMAN
T96060000400	ABHDB_HUMAN
T96060000401	ABHDB_HUMAN
T96060000402	ABHDB_HUMAN
T96060000403	ABHDD_HUMAN
T96060000404	ABHDD_HUMAN
T96060000405	ABHEA_HUMAN
T96060000406	ABHEA_HUMAN
T96060000407	ABHEA_HUMAN
T96060000408	ABHGA_HUMAN
T96060000409	ABHGB_HUMAN
T96060000410	ABHGB_HUMAN
T96060000411	ABHGB_HUMAN
T96060000412	ABL2_HUMAN
T96060000413	ABLM1_HUMAN
T96060000414	ABLM2_HUMAN
T96060000415	ABLM2_HUMAN
T96060000416	ABLM3_HUMAN
T96060000417	ABRAL_HUMAN
T96060000418	ABRAL_HUMAN
T96060000419	ABRAL_HUMAN
T96060000420	ABRA_HUMAN
T96060000421	ABRA_HUMAN
T96060000422	ABR_HUMAN
T96060000423	ABR_HUMAN
T96060000424	ABT1_HUMAN
T96060000425	ABT1_HUMAN
T96060000426	ABTB1_HUMAN
T96060000427	ABTB1_HUMAN
T96060000428	ABTB2_HUMAN
T96060000429	ABTB2_HUMAN
T96060000430	ACACA_HUMAN
T96060000431	ACAD8_HUMAN
T96060000432	ACAD8_HUMAN
T96060000433	ACADL_HUMAN
T96060000434	ACADL_HUMAN
T96060000435	ACADL_HUMAN
T96060000436	ACAP1_HUMAN
T96060000437	ACAP1_HUMAN
T96060000438	ACAP2_HUMAN
T96060000439	ACAP2_HUMAN
T96060000440	ACAP3_HUMAN
T96060000441	ACAP3_HUMAN
T96060000442	ACAP3_HUMAN
T96060000443	ACATN_HUMAN
T96060000444	ACBD4_HUMAN
T96060000445	ACBD4_HUMAN
T96060000446	ACBD4_HUMAN
T96060000447	ACBD5_HUMAN
T96060000448	ACBD6_HUMAN
T96060000449	ACBD6_HUMAN
T96060000450	ACBD6_HUMAN
T96060000451	ACBD7_HUMAN
T96060000452	ACBD7_HUMAN
T96060000453	ACBD7_HUMAN
T96060000454	ACD10_HUMAN
T96060000455	ACD10_HUMAN
T96060000456	ACD10_HUMAN
T96060000457	ACDSB_HUMAN
T96060000458	ACH10_HUMAN
T96060000459	ACH10_HUMAN
T96060000460	ACHA5_HUMAN
T96060000461	ACHA6_HUMAN
T96060000462	ACHA6_HUMAN
T96060000463	ACHA6_HUMAN
T96060000464	ACHB3_HUMAN
T96060000465	ACHB3_HUMAN
T96060000466	ACHB3_HUMAN
T96060000467	ACHE_HUMAN
T96060000468	ACHG_HUMAN
T96060000469	ACHG_HUMAN
T96060000470	ACHG_HUMAN
T96060000471	ACKR1_HUMAN
T96060000472	ACKR1_HUMAN
T96060000473	ACKR2_HUMAN
T96060000474	ACKR4_HUMAN
T96060000475	ACKR4_HUMAN
T96060000476	ACL10_HUMAN
T96060000477	ACL10_HUMAN
T96060000478	ACL10_HUMAN
T96060000479	ACL6A_HUMAN
T96060000480	ACL6B_HUMAN
T96060000481	ACL7A_HUMAN
T96060000482	ACL7A_HUMAN
T96060000483	ACL7B_HUMAN
T96060000484	ACL7B_HUMAN
T96060000485	ACL7B_HUMAN
T96060000486	ACM1_HUMAN
T96060000487	ACM1_HUMAN
T96060000488	ACM3_HUMAN
T96060000489	ACM3_HUMAN
T96060000490	ACM4_HUMAN
T96060000491	ACM4_HUMAN
T96060000492	ACM4_HUMAN
T96060000493	ACM5_HUMAN
T96060000494	ACM5_HUMAN
T96060000495	ACM5_HUMAN
T96060000496	ACO11_HUMAN
T96060000497	ACO11_HUMAN
T96060000498	ACO12_HUMAN
T96060000499	ACO12_HUMAN
T96060000500	ACO12_HUMAN
T96060000501	ACOT6_HUMAN
T96060000502	ACOT6_HUMAN
T96060000503	ACOT9_HUMAN
T96060000504	ACOT9_HUMAN
T96060000505	ACOT9_HUMAN
T96060000506	ACOX3_HUMAN
T96060000507	ACOXL_HUMAN
T96060000508	ACOXL_HUMAN
T96060000509	ACOXL_HUMAN
T96060000510	ACP7_HUMAN
T96060000511	ACP7_HUMAN
T96060000512	ACP7_HUMAN
T96060000513	ACPM_HUMAN
T96060000514	ACRBP_HUMAN
T96060000515	ACRBP_HUMAN
T96060000516	ACRC_HUMAN
T96060000517	ACRC_HUMAN
T96060000518	ACS2A_HUMAN
T96060000519	ACS2B_HUMAN
T96060000520	ACS2B_HUMAN
T96060000521	ACS2B_HUMAN
T96060000522	ACSF2_HUMAN
T96060000523	ACSF2_HUMAN
T96060000524	ACSF2_HUMAN
T96060000525	ACSF4_HUMAN
T96060000526	ACSF4_HUMAN
T96060000527	ACSF4_HUMAN
T96060000528	ACSM1_HUMAN
T96060000529	ACSM3_HUMAN
T96060000530	ACSM3_HUMAN
T96060000531	ACSM3_HUMAN
T96060000532	ACSM4_HUMAN
T96060000533	ACSM4_HUMAN
T96060000534	ACSM4_HUMAN
T96060000535	ACSM5_HUMAN
T96060000536	ACSM5_HUMAN
T96060000537	ACSM5_HUMAN
T96060000538	ACSM6_HUMAN
T96060000539	ACSM6_HUMAN
T96060000540	ACSM6_HUMAN
T96060000541	ACSS3_HUMAN
T96060000542	ACSS3_HUMAN
T96060000543	ACSS3_HUMAN
T96060000544	ACTA_HUMAN
T96060000545	ACTBL_HUMAN
T96060000546	ACTBL_HUMAN
T96060000547	ACTBM_HUMAN
T96060000548	ACTBM_HUMAN
T96060000549	ACTHR_HUMAN
T96060000550	ACTHR_HUMAN
T96060000551	ACTH_HUMAN
T96060000552	ACTH_HUMAN
T96060000553	ACTL8_HUMAN
T96060000554	ACTL8_HUMAN
T96060000555	ACTL9_HUMAN
T96060000556	ACTL9_HUMAN
T96060000557	ACTL9_HUMAN
T96060000558	ACTS_HUMAN
T96060000559	ACTT2_HUMAN
T96060000560	ACTT2_HUMAN
T96060000561	ACTT2_HUMAN
T96060000562	ACTT3_HUMAN
T96060000563	ACTT3_HUMAN
T96060000564	ACTT3_HUMAN
T96060000565	ACTY_HUMAN
T96060000566	ACTY_HUMAN
T96060000567	ACTZ_HUMAN
T96060000568	ACTZ_HUMAN
T96060000569	ACY1_HUMAN
T96060000570	ACY2_HUMAN
T96060000571	ACY3_HUMAN
T96060000572	ACY3_HUMAN
T96060000573	ACYP1_HUMAN
T96060000574	ACYP1_HUMAN
T96060000575	ACYP1_HUMAN
T96060000576	ACYP2_HUMAN
T96060000577	ACYP2_HUMAN
T96060000578	ADA11_HUMAN
T96060000579	ADA11_HUMAN
T96060000580	ADA11_HUMAN
T96060000581	ADA18_HUMAN
T96060000582	ADA18_HUMAN
T96060000583	ADA18_HUMAN
T96060000584	ADA1D_HUMAN
T96060000585	ADA1D_HUMAN
T96060000586	ADA1D_HUMAN
T96060000587	ADA20_HUMAN
T96060000588	ADA20_HUMAN
T96060000589	ADA20_HUMAN
T96060000590	ADA21_HUMAN
T96060000591	ADA21_HUMAN
T96060000592	ADA21_HUMAN
T96060000593	ADA22_HUMAN
T96060000594	ADA22_HUMAN
T96060000595	ADA23_HUMAN
T96060000596	ADA23_HUMAN
T96060000597	ADA23_HUMAN
T96060000598	ADA28_HUMAN
T96060000599	ADA29_HUMAN
T96060000600	ADA29_HUMAN
T96060000601	ADA29_HUMAN
T96060000602	ADA30_HUMAN
T96060000603	ADA30_HUMAN
T96060000604	ADA30_HUMAN
T96060000605	ADA32_HUMAN
T96060000606	ADA32_HUMAN
T96060000607	ADA32_HUMAN
T96060000608	ADA33_HUMAN
T96060000609	ADA33_HUMAN
T96060000610	ADA33_HUMAN
T96060000611	ADAD1_HUMAN
T96060000612	ADAD1_HUMAN
T96060000613	ADAD1_HUMAN
T96060000614	ADAD2_HUMAN
T96060000615	ADAD2_HUMAN
T96060000616	ADAD2_HUMAN
T96060000617	ADAL_HUMAN
T96060000618	ADAL_HUMAN
T96060000619	ADAM2_HUMAN
T96060000620	ADAM2_HUMAN
T96060000621	ADAM2_HUMAN
T96060000622	ADAM5_HUMAN
T96060000623	ADAM5_HUMAN
T96060000624	ADAM5_HUMAN
T96060000625	ADAM7_HUMAN
T96060000626	ADAM7_HUMAN
T96060000627	ADAM7_HUMAN
T96060000628	ADAS1_HUMAN
T96060000629	ADAS1_HUMAN
T96060000630	ADAS1_HUMAN
T96060000631	ADAT1_HUMAN
T96060000632	ADAT2_HUMAN
T96060000633	ADAT2_HUMAN
T96060000634	ADAT2_HUMAN
T96060000635	ADAT3_HUMAN
T96060000636	ADAT3_HUMAN
T96060000637	ADAT3_HUMAN
T96060000638	ADCK1_HUMAN
T96060000639	ADCK1_HUMAN
T96060000640	ADCK1_HUMAN
T96060000641	ADCK2_HUMAN
T96060000642	ADCK2_HUMAN
T96060000643	ADCK2_HUMAN
T96060000644	ADCK5_HUMAN
T96060000645	ADCK5_HUMAN
T96060000646	ADCK5_HUMAN
T96060000647	ADCL2_HUMAN
T96060000648	ADCL2_HUMAN
T96060000649	ADCL2_HUMAN
T96060000650	ADCL3_HUMAN
T96060000651	ADCL3_HUMAN
T96060000652	ADCL3_HUMAN
T96060000653	ADCL4_HUMAN
T96060000654	ADCL4_HUMAN
T96060000655	ADCL4_HUMAN
T96060000656	ADCY1_HUMAN
T96060000657	ADCY1_HUMAN
T96060000658	ADCY2_HUMAN
T96060000659	ADCY2_HUMAN
T96060000660	ADCY3_HUMAN
T96060000661	ADCY3_HUMAN
T96060000662	ADCY4_HUMAN
T96060000663	ADCY6_HUMAN
T96060000664	ADCY8_HUMAN
T96060000665	ADCY8_HUMAN
T96060000666	ADCY8_HUMAN
T96060000667	ADDG_HUMAN
T96060000668	ADDG_HUMAN
T96060000669	ADEC1_HUMAN
T96060000670	ADEC1_HUMAN
T96060000671	ADEC1_HUMAN
T96060000672	ADGB_HUMAN
T96060000673	ADGB_HUMAN
T96060000674	ADGB_HUMAN
T96060000675	ADH1A_HUMAN
T96060000676	ADIG_HUMAN
T96060000677	ADIG_HUMAN
T96060000678	ADIG_HUMAN
T96060000679	ADIPL_HUMAN
T96060000680	ADIPL_HUMAN
T96060000681	ADIPL_HUMAN
T96060000682	ADIP_HUMAN
T96060000683	ADIRF_HUMAN
T96060000684	ADK_HUMAN
T96060000685	ADM2_HUMAN
T96060000686	ADM5_HUMAN
T96060000687	ADM5_HUMAN
T96060000688	ADM5_HUMAN
T96060000689	ADNP2_HUMAN
T96060000690	ADNP2_HUMAN
T96060000691	ADNP2_HUMAN
T96060000692	ADNP_HUMAN
T96060000693	ADNP_HUMAN
T96060000694	ADNP_HUMAN
T96060000695	ADPPT_HUMAN
T96060000696	ADPRH_HUMAN
T96060000697	ADPRM_HUMAN
T96060000698	ADPRM_HUMAN
T96060000699	ADPRM_HUMAN
T96060000700	ADRO_HUMAN
T96060000701	ADRO_HUMAN
T96060000702	ADSV_HUMAN
T96060000703	ADT1_HUMAN
T96060000704	ADT3_HUMAN
T96060000705	ADT3_HUMAN
T96060000706	ADT4_HUMAN
T96060000707	ADT4_HUMAN
T96060000708	AEBP2_HUMAN
T96060000709	AEBP2_HUMAN
T96060000710	AEDO_HUMAN
T96060000711	AEDO_HUMAN
T96060000712	AEDO_HUMAN
T96060000713	AEGP_HUMAN
T96060000714	AEGP_HUMAN
T96060000715	AEGP_HUMAN
T96060000716	AF17_HUMAN
T96060000717	AF17_HUMAN
T96060000718	AF1L1_HUMAN
T96060000719	AF1L1_HUMAN
T96060000720	AF1L1_HUMAN
T96060000721	AF1Q_HUMAN
T96060000722	AFAP1_HUMAN
T96060000723	AFAP1_HUMAN
T96060000724	AFDDT_HUMAN
T96060000725	AFDDT_HUMAN
T96060000726	AFDDT_HUMAN
T96060000727	AFF1_HUMAN
T96060000728	AFF1_HUMAN
T96060000729	AFF2_HUMAN
T96060000730	AFF4_HUMAN
T96060000731	AFF4_HUMAN
T96060000732	AFG1L_HUMAN
T96060000733	AFG2H_HUMAN
T96060000734	AFTIN_HUMAN
T96060000735	AG10A_HUMAN
T96060000736	AG10A_HUMAN
T96060000737	AG10A_HUMAN
T96060000738	AG1L2_HUMAN
T96060000739	AG1L2_HUMAN
T96060000740	AG1L2_HUMAN
T96060000741	AGA11_HUMAN
T96060000742	AGA11_HUMAN
T96060000743	AGA11_HUMAN
T96060000744	AGAP1_HUMAN
T96060000745	AGAP1_HUMAN
T96060000746	AGAP2_HUMAN
T96060000747	AGAP3_HUMAN
T96060000748	AGAP3_HUMAN
T96060000749	AGAP3_HUMAN
T96060000750	AGAP4_HUMAN
T96060000751	AGAP4_HUMAN
T96060000752	AGAP4_HUMAN
T96060000753	AGAP5_HUMAN
T96060000754	AGAP5_HUMAN
T96060000755	AGAP5_HUMAN
T96060000756	AGAP6_HUMAN
T96060000757	AGAP6_HUMAN
T96060000758	AGAP6_HUMAN
T96060000759	AGAP7_HUMAN
T96060000760	AGAP7_HUMAN
T96060000761	AGAP7_HUMAN
T96060000762	AGAP9_HUMAN
T96060000763	AGAP9_HUMAN
T96060000764	AGAP9_HUMAN
T96060000765	AGFG1_HUMAN
T96060000766	AGFG1_HUMAN
T96060000767	AGFG2_HUMAN
T96060000768	AGFG2_HUMAN
T96060000769	AGGF1_HUMAN
T96060000770	AGIT1_HUMAN
T96060000771	AGIT1_HUMAN
T96060000772	AGIT1_HUMAN
T96060000773	AGK_HUMAN
T96060000774	AGM1_HUMAN
T96060000775	AGR3_HUMAN
T96060000776	AGRA1_HUMAN
T96060000777	AGRA1_HUMAN
T96060000778	AGRA1_HUMAN
T96060000779	AGRA2_HUMAN
T96060000780	AGRA3_HUMAN
T96060000781	AGRA3_HUMAN
T96060000782	AGRA3_HUMAN
T96060000783	AGRB3_HUMAN
T96060000784	AGRD2_HUMAN
T96060000785	AGRD2_HUMAN
T96060000786	AGRD2_HUMAN
T96060000787	AGRE1_HUMAN
T96060000788	AGRE1_HUMAN
T96060000789	AGRE1_HUMAN
T96060000790	AGRE3_HUMAN
T96060000791	AGRE3_HUMAN
T96060000792	AGRE3_HUMAN
T96060000793	AGRE4_HUMAN
T96060000794	AGRE4_HUMAN
T96060000795	AGRE4_HUMAN
T96060000796	AGRF1_HUMAN
T96060000797	AGRF1_HUMAN
T96060000798	AGRF1_HUMAN
T96060000799	AGRF2_HUMAN
T96060000800	AGRF2_HUMAN
T96060000801	AGRF2_HUMAN
T96060000802	AGRF3_HUMAN
T96060000803	AGRF3_HUMAN
T96060000804	AGRF3_HUMAN
T96060000805	AGRF4_HUMAN
T96060000806	AGRF4_HUMAN
T96060000807	AGRF4_HUMAN
T96060000808	AGRF5_HUMAN
T96060000809	AGRF5_HUMAN
T96060000810	AGRG2_HUMAN
